Participant,HR,Time,Label
1,66.95,1644276238,0
1,66.72,1644276305,0
1,66.43,1644276371,0
1,66.15,1644276438,0
1,65.77,1644276504,0
1,65.27,1644276570,0
1,64.68,1644276635,0
1,64.6,1644276700,0
1,64.52,1644276764,0
1,64.42,1644276829,0
1,64.32,1644276893,0
1,64.27,1644276957,0
1,64.27,1644277022,0
1,64.53,1644277086,0
1,64.82,1644277151,0
1,65.07,1644277215,0
1,65.42,1644277280,0
1,65.75,1644277346,0
1,66.12,1644277412,0
1,66.5,1644277478,0
1,66.97,1644277544,0
1,67.45,1644277611,0
1,68.0,1644277679,0
1,68.57,1644277747,0
1,69.08,1644277815,0
1,69.62,1644277884,0
1,70.13,1644277954,0
1,70.67,1644278024,0
1,71.13,1644278095,0
1,71.67,1644278166,0
1,72.25,1644278238,0
1,72.87,1644278310,0
1,73.5,1644278383,0
1,74.1,1644278456,0
1,75.12,1644278530,0
1,76.17,1644278605,0
1,77.25,1644278682,0
1,78.4,1644278759,0
1,79.52,1644278837,0
1,80.57,1644278917,0
1,81.68,1644278997,0
1,82.8,1644279079,0
1,83.08,1644279162,0
1,83.27,1644279245,0
1,83.45,1644279328,0
1,83.65,1644279412,0
1,83.83,1644279495,0
1,83.98,1644279579,0
1,84.15,1644279663,0
1,84.28,1644279747,0
1,84.43,1644279831,0
1,84.57,1644279916,0
1,84.68,1644280000,0
1,84.7,1644280085,0
1,84.73,1644280170,0
1,84.75,1644280255,0
1,84.73,1644280339,0
1,84.7,1644280424,0
1,84.67,1644280509,0
1,84.63,1644280593,0
1,84.6,1644280678,0
1,84.57,1644280763,0
1,84.58,1644280847,0
1,84.65,1644280932,0
1,84.87,1644281016,0
1,85.07,1644281101,0
1,85.35,1644281186,0
1,85.17,1644281272,0
1,84.97,1644281357,0
1,84.75,1644281442,0
1,84.55,1644281527,0
1,84.33,1644281611,0
1,84.08,1644281695,0
1,83.83,1644281780,0
1,83.55,1644281863,0
1,83.3,1644281947,0
1,82.95,1644282030,0
1,82.63,1644282113,0
1,82.3,1644282196,0
1,81.93,1644282278,0
1,81.5,1644282360,0
1,81.07,1644282442,0
1,80.58,1644282523,0
1,80.07,1644282603,0
1,79.6,1644282683,0
1,79.13,1644282763,0
1,78.67,1644282842,0
1,78.18,1644282921,0
1,77.77,1644282999,0
1,77.27,1644283077,0
1,76.72,1644283154,0
1,76.17,1644283231,0
1,75.65,1644283307,0
1,75.12,1644283382,0
1,74.25,1644283458,0
1,73.33,1644283532,0
1,72.37,1644283605,0
1,71.35,1644283678,0
1,70.33,1644283749,0
1,69.35,1644283819,0
1,68.32,1644283889,0
1,67.32,1644283957,0
1,67.08,1644284024,0
1,66.92,1644284091,0
1,66.73,1644284158,0
1,66.55,1644284225,0
1,66.38,1644284291,0
1,66.27,1644284358,0
1,66.15,1644284424,0
1,66.07,1644284490,0
1,65.98,1644284556,0
1,65.93,1644284622,0
1,65.9,1644284688,0
1,65.97,1644284754,0
1,66.02,1644284820,0
1,66.08,1644284886,0
1,66.2,1644284952,0
1,66.3,1644285018,0
1,66.42,1644285085,0
1,66.53,1644285151,0
1,66.68,1644285218,0
1,66.85,1644285284,0
1,67.05,1644285351,0
1,67.18,1644285418,0
1,67.27,1644285485,0
1,67.35,1644285553,0
1,67.4,1644285620,0
1,67.43,1644285687,0
1,67.45,1644285755,0
1,67.43,1644285822,0
1,67.4,1644285890,0
1,67.38,1644285957,0
1,67.4,1644286025,0
1,67.43,1644286092,0
